Country,Customer ID,R,F,M,R Score,F Score,M Score,RFM Score,Segmentation
Denmark,12435.0,4462,2,7829.89,2,2,5,225,Silver
Denmark,13919.0,4442,2,384.81,3,2,2,322,Gold
European Community,15108.0,4524,4,1300.25,2,4,4,244,Silver
Finland,12348.0,4458,4,2101.56,2,4,5,245,Silver
Finland,12375.0,4393,2,457.5,5,2,2,522,Titanium
Finland,12405.0,4531,1,1710.39,2,1,4,214,Silver
Finland,12428.0,4408,9,7956.46,4,5,5,455,Platinum
Finland,12582.0,4621,2,511.36,1,2,3,123,Bronze
Finland,12587.0,4390,1,144.0,5,1,1,511,Titanium
Finland,12588.0,4422,1,214.89999999999998,3,1,1,311,Gold
Finland,12630.0,4392,2,1270.88,5,2,4,524,Titanium
Finland,12631.0,4440,1,640.5,3,1,3,313,Gold
Finland,12664.0,4391,9,4881.88,5,5,5,555,Titanium
Finland,12667.0,4441,1,620.13,3,1,3,313,Gold
Finland,12704.0,4390,8,2340.84,5,5,5,555,Titanium
France,12413.0,4449,3,758.1,3,3,3,333,Gold
France,12437.0,4384,18,4951.41,5,5,5,555,Titanium
France,12441.0,4749,1,173.55,1,1,1,111,Bronze
France,12488.0,4392,3,1298.66,5,3,4,534,Titanium
France,12489.0,4719,1,334.93,1,1,2,112,Bronze
France,12490.0,4388,10,5417.93,5,5,5,555,Titanium
France,12491.0,4421,1,522.8000000000001,3,1,3,313,Gold
France,12493.0,4548,2,433.74,2,2,2,222,Silver
France,12494.0,4398,7,1246.1000000000001,4,5,4,454,Platinum
France,12506.0,4615,1,73.5,1,1,1,111,Bronze
France,12508.0,4409,2,410.6,4,2,2,422,Platinum
France,12509.0,4667,1,176.5,1,1,1,111,Bronze
France,12513.0,4495,1,612.29,2,1,3,213,Silver
France,12523.0,4402,11,1789.77,4,5,4,454,Platinum
France,12532.0,4413,1,349.83000000000004,4,1,2,412,Platinum
France,12535.0,4474,2,716.35,2,2,3,223,Silver
France,12536.0,4426,3,12601.830000000002,3,3,5,335,Gold
France,12553.0,4391,10,3692.28,5,5,5,555,Titanium
France,12562.0,4391,7,3781.7400000000002,5,5,5,555,Titanium
France,12564.0,4644,1,456.9,1,1,2,112,Bronze
France,12567.0,4405,10,9401.28,4,5,5,455,Platinum
France,12571.0,4422,2,519.61,3,2,3,323,Gold
France,12573.0,4610,1,166.84,1,1,1,111,Bronze
France,12574.0,4698,1,218.45000000000002,1,1,1,111,Bronze
France,12577.0,4418,3,639.2,3,3,3,333,Gold
France,12579.0,4461,1,440.42,2,1,2,212,Silver
France,12583.0,4385,15,7281.38,5,5,5,555,Titanium
France,12589.0,4411,2,646.68,4,2,3,423,Platinum
France,12593.0,4491,3,418.09999999999997,2,3,2,232,Silver
France,12598.0,4392,8,3023.08,5,5,5,555,Titanium
France,12599.0,4412,7,1032.58,4,5,4,454,Platinum
France,12602.0,4441,1,153.12,3,1,1,311,Gold
France,12604.0,4462,2,254.18,2,2,2,222,Silver
France,12615.0,4385,4,2291.19,5,4,5,545,Titanium
France,12616.0,4478,2,713.3,2,2,3,223,Silver
France,12617.0,4412,1,366.43,4,1,2,412,Platinum
France,12620.0,4397,3,1339.41,5,3,4,534,Titanium
France,12624.0,4489,2,641.13,2,2,3,223,Silver
France,12637.0,4450,8,6030.3,3,5,5,355,Gold
France,12640.0,4406,3,1174.58,4,3,4,434,Platinum
France,12643.0,4511,6,3344.64,2,5,5,255,Silver
France,12650.0,4386,1,314.44,5,1,2,512,Titanium
France,12651.0,4717,1,114.0,1,1,1,111,Bronze
France,12652.0,4714,1,919.98,1,1,3,113,Bronze
France,12656.0,4400,5,4051.17,4,4,5,445,Platinum
France,12657.0,4394,4,1643.18,5,4,4,544,Titanium
France,12659.0,4412,1,91.68,4,1,1,411,Platinum
France,12660.0,4394,1,245.1,5,1,1,511,Titanium
France,12669.0,4533,3,2744.0299999999997,2,3,5,235,Silver
France,12670.0,4393,5,2996.05,5,4,5,545,Titanium
France,12672.0,4712,1,225.9,1,1,1,111,Bronze
France,12674.0,4421,4,1970.6,3,4,4,344,Gold
France,12678.0,4425,12,17628.46,3,5,5,355,Gold
France,12679.0,4441,4,1113.02,3,4,4,344,Gold
France,12680.0,4383,4,880.81,5,4,3,543,Titanium
France,12681.0,4397,22,13787.54,5,5,5,555,Titanium
France,12682.0,4386,31,12279.82,5,5,5,555,Titanium
France,12683.0,4387,15,8476.57,5,5,5,555,Titanium
France,12684.0,4390,7,2283.63,5,5,5,555,Titanium
France,12685.0,4411,6,2863.08,4,5,5,455,Platinum
France,12686.0,4754,1,89.14,1,1,1,111,Bronze
France,12689.0,4408,2,1247.61,4,2,4,424,Platinum
France,12690.0,4588,1,389.01,1,1,2,112,Bronze
France,12691.0,4411,6,1035.8,4,5,4,454,Platinum
France,12694.0,4453,2,869.67,3,2,3,323,Gold
France,12695.0,4390,4,582.1,5,4,3,543,Titanium
France,12700.0,4390,4,4939.99,5,4,5,545,Titanium
France,12707.0,4674,1,603.4200000000001,1,1,3,113,Bronze
France,12714.0,4392,5,4708.86,5,4,5,545,Titanium
France,12716.0,4386,2,1053.49,5,2,4,524,Titanium
France,12718.0,4454,1,238.25,3,1,1,311,Gold
France,12719.0,4388,2,644.95,5,2,3,523,Titanium
France,12721.0,4414,6,2656.13,4,5,5,455,Platinum
France,12722.0,4468,4,997.63,2,4,4,244,Silver
France,12723.0,4386,5,725.07,5,4,3,543,Titanium
France,12724.0,4388,4,1031.41,5,4,4,544,Titanium
France,12726.0,4411,7,2609.1,4,5,5,455,Platinum
France,12727.0,4393,7,3980.7000000000003,5,5,5,555,Titanium
France,12728.0,4454,4,836.33,3,4,3,343,Gold
France,12729.0,4496,1,453.01,2,1,2,212,Silver
France,12731.0,4406,12,18895.91,4,5,5,455,Platinum
France,12732.0,4562,1,236.26000000000002,2,1,1,211,Silver
France,12734.0,4735,1,110.39999999999999,1,1,1,111,Bronze
France,12735.0,4698,2,779.5699999999999,1,2,3,123,Bronze
France,12736.0,4715,1,234.0,1,1,1,111,Bronze
France,12740.0,4446,1,427.6,3,1,2,312,Gold
France,14277.0,4398,3,4238.67,4,3,5,435,Platinum
Germany,12426.0,4577,1,582.73,1,1,3,113,Bronze
Germany,12427.0,4404,3,825.8,4,3,3,433,Platinum
Germany,12468.0,4570,2,729.54,1,2,3,123,Bronze
Germany,12471.0,4385,30,19788.649999999998,5,5,5,555,Titanium
Germany,12472.0,4415,7,6572.11,4,5,5,455,Platinum
Germany,12473.0,4412,5,5955.7699999999995,4,4,5,445,Platinum
Germany,12474.0,4400,18,7324.09,4,5,5,455,Platinum
Germany,12475.0,4436,1,723.38,3,1,3,313,Gold
Germany,12476.0,4398,11,6941.4,4,5,5,455,Platinum
Germany,12477.0,4405,6,13219.74,4,5,5,455,Platinum
Germany,12479.0,4394,1,527.2,5,1,3,513,Titanium
Germany,12480.0,4411,4,3281.63,4,4,5,445,Platinum
Germany,12481.0,4405,10,5579.82,4,5,5,455,Platinum
Germany,12492.0,4446,2,263.21000000000004,3,2,2,322,Gold
Germany,12497.0,4464,1,1043.1,2,1,4,214,Silver
Germany,12498.0,4404,3,403.70000000000005,4,3,2,432,Platinum
Germany,12500.0,4406,11,4257.82,4,5,5,455,Platinum
Germany,12501.0,4719,1,2169.39,1,1,5,115,Bronze
Germany,12504.0,4401,2,482.04999999999995,4,2,2,422,Platinum
Germany,12516.0,4460,2,1312.06,2,2,4,224,Silver
Germany,12517.0,4411,5,2528.15,4,4,5,445,Platinum
Germany,12518.0,4383,5,2056.89,5,4,4,544,Titanium
Germany,12519.0,4446,1,330.84,3,1,2,312,Gold
Germany,12520.0,4462,5,2634.2599999999998,2,4,5,245,Silver
Germany,12521.0,4525,1,599.68,2,1,3,213,Silver
Germany,12522.0,4422,2,192.72,3,2,1,321,Gold
Germany,12524.0,4392,8,4485.72,5,5,5,555,Titanium
Germany,12526.0,4383,3,1316.66,5,3,4,534,Titanium
Germany,12527.0,4464,3,348.71000000000004,2,3,2,232,Silver
Germany,12528.0,4392,6,1933.48,5,5,4,554,Titanium
Germany,12530.0,4442,4,1662.28,3,4,4,344,Gold
Germany,12531.0,4397,1,125.22,5,1,1,511,Titanium
Germany,12534.0,4513,1,1089.18,2,1,4,214,Silver
Germany,12559.0,4693,2,561.71,1,2,3,123,Bronze
Germany,12560.0,4388,3,2134.01,5,3,5,535,Titanium
Germany,12561.0,4685,1,238.85,1,1,1,111,Bronze
Germany,12566.0,4469,1,351.65,2,1,2,212,Silver
Germany,12569.0,4385,32,4124.69,5,5,5,555,Titanium
Germany,12572.0,4391,2,1020.42,5,2,4,524,Titanium
Germany,12580.0,4629,1,415.7,1,1,2,112,Bronze
Germany,12581.0,4422,1,197.71,3,1,1,311,Gold
Germany,12585.0,4617,2,2040.1,1,2,4,124,Bronze
Germany,12590.0,4594,2,9864.26,1,2,5,125,Bronze
Germany,12592.0,4475,2,437.6,2,2,2,222,Silver
Germany,12600.0,4411,10,2599.04,4,5,5,455,Platinum
Germany,12601.0,4572,5,577.06,1,4,3,143,Bronze
Germany,12603.0,4404,1,739.1999999999999,4,1,3,413,Platinum
Germany,12609.0,4461,3,1126.85,2,3,4,234,Silver
Germany,12612.0,4457,1,704.0400000000001,2,1,3,213,Silver
Germany,12613.0,4440,5,3344.38,3,4,5,345,Gold
Germany,12614.0,4660,1,315.6,1,1,2,112,Bronze
Germany,12619.0,4399,9,3641.24,4,5,5,455,Platinum
Germany,12621.0,4384,20,13689.67,5,5,5,555,Titanium
Germany,12622.0,4615,1,180.1,1,1,1,111,Bronze
Germany,12623.0,4659,1,305.1,1,1,2,112,Bronze
Germany,12625.0,4594,2,2683.82,1,2,5,125,Bronze
Germany,12626.0,4406,9,6620.4800000000005,4,5,5,455,Platinum
Germany,12627.0,4393,7,4478.53,5,5,5,555,Titanium
Germany,12628.0,4387,3,786.46,5,3,3,533,Titanium
Germany,12633.0,4441,4,2163.98,3,4,5,345,Gold
Germany,12635.0,4472,2,1689.18,2,2,4,224,Silver
Germany,12642.0,4408,3,1013.26,4,3,4,434,Platinum
Germany,12644.0,4512,1,477.91,2,1,2,212,Silver
Germany,12645.0,4416,4,1775.18,3,4,4,344,Gold
Germany,12647.0,4405,12,3722.82,4,5,5,455,Platinum
Germany,12648.0,4537,1,318.05,2,1,2,212,Silver
Germany,12649.0,4490,3,623.51,2,3,3,233,Silver
Germany,12654.0,4393,5,601.98,5,4,3,543,Titanium
Germany,12658.0,4401,1,686.05,4,1,3,413,Platinum
Germany,12662.0,4383,11,3849.78,5,5,5,555,Titanium
Germany,12665.0,4707,1,63.0,1,1,1,111,Bronze
Germany,12668.0,4394,4,3807.15,5,4,5,545,Titanium
Germany,12673.0,4388,2,610.52,5,2,3,523,Titanium
Germany,12693.0,4510,4,855.91,2,4,3,243,Silver
Germany,12701.0,4462,2,797.71,2,2,3,223,Silver
Germany,12702.0,4402,1,219.0,4,1,1,411,Platinum
Germany,12703.0,4454,1,283.55,3,1,2,312,Gold
Germany,12705.0,4398,9,6868.29,4,5,5,455,Platinum
Germany,12708.0,4412,10,2712.91,4,5,5,455,Platinum
Germany,12709.0,4398,15,9706.52,4,5,5,455,Platinum
Germany,12710.0,4479,3,1149.02,2,3,4,234,Silver
Germany,12712.0,4411,13,4396.13,4,5,5,455,Platinum
Germany,12713.0,4383,1,848.55,5,1,3,513,Titanium
Germany,12720.0,4385,25,5781.73,5,5,5,555,Titanium
Germany,12738.0,4755,1,155.35,1,1,1,111,Bronze
Germany,13810.0,4411,3,1499.01,4,3,4,434,Platinum
Germany,13811.0,4566,3,814.5,1,3,3,133,Bronze
Germany,13812.0,4425,3,539.0,3,3,3,333,Gold
Germany,13813.0,4422,4,1366.8600000000001,3,4,4,344,Gold
Germany,13814.0,4475,2,1579.12,2,2,4,224,Silver
Germany,13815.0,4405,4,4027.36,4,4,5,445,Platinum
Germany,13816.0,4406,2,571.67,4,2,3,423,Platinum
Germany,13817.0,4412,2,382.98,4,2,2,422,Platinum
Germany,14335.0,4399,2,481.11,4,2,2,422,Platinum
Greece,12478.0,4386,1,680.99,5,1,3,513,Titanium
Greece,12717.0,4534,2,1030.98,2,2,4,224,Silver
Greece,14439.0,4702,1,2661.24,1,1,5,115,Bronze
Greece,17508.0,4663,1,387.31,1,1,2,112,Bronze
Iceland,12347.0,4385,7,4310.0,5,5,5,555,Titanium
Ireland,14016.0,4544,4,4341.21,2,4,5,245,Silver
Ireland,14156.0,4392,55,117430.03,5,5,5,555,Titanium
Ireland,14911.0,4384,201,143711.17,5,5,5,555,Titanium
Italy,12349.0,4401,1,1757.55,4,1,4,414,Platinum
Italy,12514.0,4650,1,1017.68,1,1,4,114,Bronze
Italy,12515.0,4736,1,383.7,1,1,2,112,Bronze
Italy,12552.0,4421,2,437.82,3,2,2,322,Gold
Italy,12578.0,4404,2,2794.51,4,2,5,425,Platinum
Italy,12584.0,4386,9,2338.15,5,5,5,555,Titanium
Italy,12586.0,4400,1,196.94,4,1,1,411,Platinum
Italy,12591.0,4700,1,452.85,1,1,2,112,Bronze
Italy,12594.0,4420,10,3338.2200000000003,3,5,5,355,Gold
Italy,12610.0,4405,5,2099.54,4,4,5,445,Platinum
Italy,12611.0,4435,1,1193.32,3,1,4,314,Gold
Italy,12618.0,4404,1,177.31,4,1,1,411,Platinum
Italy,12725.0,4754,1,427.8,1,1,2,112,Bronze
Italy,14912.0,4399,2,867.85,4,2,3,423,Platinum
Japan,12753.0,4405,6,21429.39,4,5,5,455,Platinum
Japan,12754.0,4618,3,3010.74,1,3,5,135,Bronze
Japan,12755.0,4663,2,3811.95,1,2,5,125,Bronze
Japan,12756.0,4469,1,112.07999999999998,2,1,1,211,Silver
Japan,12763.0,4521,2,494.08,2,2,3,223,Silver
Japan,12770.0,4593,1,1351.45,1,1,4,114,Bronze
Japan,12798.0,4393,3,6977.04,5,3,5,535,Titanium
Japan,12812.0,4427,1,229.64000000000001,3,1,1,311,Gold
Lebanon,12764.0,4699,1,1693.88,1,1,4,114,Bronze
Lithuania,15332.0,4749,4,1661.06,1,4,4,144,Bronze
Malta,15480.0,4499,1,905.5,2,1,3,213,Silver
Malta,17828.0,4405,4,1820.09,4,4,4,444,Platinum
Netherlands,12759.0,4435,3,1531.44,3,3,4,334,Gold
Netherlands,12775.0,4400,5,1386.04,4,4,4,444,Platinum
Netherlands,12778.0,4402,6,822.23,4,5,3,453,Platinum
Netherlands,12787.0,4392,3,463.66,5,3,2,532,Titanium
Netherlands,12789.0,4448,1,91.85000000000001,3,1,1,311,Gold
Netherlands,12790.0,4575,1,324.92,1,1,2,112,Bronze
Netherlands,12791.0,4756,1,192.60000000000002,1,1,1,111,Bronze
Netherlands,12802.0,4569,1,427.58,1,1,2,112,Bronze
Netherlands,14646.0,4384,73,280206.02,5,5,5,555,Titanium
Norway,12350.0,4693,1,334.4,1,1,2,112,Bronze
Norway,12352.0,4419,8,4186.639999999999,3,5,5,355,Gold
Norway,12381.0,4387,5,1845.31,5,4,4,544,Titanium
Norway,12430.0,4426,1,256.4,3,1,2,312,Gold
Norway,12432.0,4425,5,5059.32,3,4,5,345,Gold
Norway,12433.0,4383,7,13375.87,5,5,5,555,Titanium
Norway,12436.0,4482,1,509.01000000000005,2,1,3,213,Silver
Norway,12438.0,4397,2,2906.85,5,2,5,525,Titanium
Norway,12444.0,4404,5,5005.46,4,4,5,445,Platinum
Norway,12752.0,4464,1,4366.78,2,1,5,215,Silver
Palestine,12512.0,4449,2,132.18,3,2,1,321,Gold
Palestine,12653.0,4531,2,2209.85,2,2,5,225,Silver
Palestine,12688.0,4496,1,4873.81,2,1,5,215,Silver
Poland,12576.0,4418,5,1315.83,3,4,4,344,Gold
Poland,12750.0,4511,1,275.88,2,1,2,212,Silver
Poland,12779.0,4420,8,3981.36,3,5,5,355,Gold
Poland,12814.0,4484,1,125.92,2,1,1,211,Silver
Poland,12815.0,4530,2,1063.46,2,2,4,224,Silver
Poland,12816.0,4478,2,572.2,2,2,3,223,Silver
Portugal,12356.0,4405,3,2811.43,4,3,5,435,Platinum
Portugal,12425.0,4461,1,777.2,2,1,3,213,Silver
Portugal,12757.0,4398,13,7984.18,4,5,5,455,Platinum
Portugal,12758.0,4499,2,2791.59,2,2,5,225,Silver
Portugal,12762.0,4390,2,1898.52,5,2,4,524,Titanium
Portugal,12766.0,4386,7,6989.63,5,5,5,555,Titanium
Portugal,12772.0,4442,1,892.47,3,1,3,313,Gold
Portugal,12782.0,4387,5,2330.92,5,4,5,545,Titanium
Portugal,12783.0,4385,6,2225.91,5,5,5,555,Titanium
Portugal,12784.0,4392,2,573.02,5,2,3,523,Titanium
Portugal,12785.0,4747,1,311.95,1,1,2,112,Bronze
Portugal,12792.0,4639,1,400.53999999999996,1,1,2,112,Bronze
Portugal,12793.0,4717,2,545.48,1,2,3,123,Bronze
Portugal,12794.0,4436,2,860.41,3,2,3,323,Gold
Portugal,12795.0,4401,1,430.48,4,1,2,412,Platinum
Portugal,12797.0,4748,1,254.03,1,1,2,112,Bronze
Portugal,12808.0,4419,3,483.65000000000003,3,3,2,332,Gold
Portugal,12809.0,4560,1,489.31,2,1,2,212,Silver
Portugal,12811.0,4643,3,514.85,1,3,3,133,Bronze
Saudi Arabia,12565.0,4671,1,145.92,1,1,1,111,Bronze
Singapore,12744.0,4434,7,39460.659999999996,3,5,5,355,Gold
South Africa,12446.0,4440,1,1002.3100000000001,3,1,4,314,Gold
Spain,12354.0,4615,1,1079.4,1,1,4,114,Bronze
Spain,12417.0,4608,1,436.3,1,1,2,112,Bronze
Spain,12421.0,4398,4,807.04,4,4,3,443,Platinum
Spain,12442.0,4386,1,172.06,5,1,1,511,Titanium
Spain,12445.0,4405,1,133.4,4,1,1,411,Platinum
Spain,12448.0,4427,1,449.45,3,1,2,312,Gold
Spain,12450.0,4539,2,197.88,2,2,1,221,Silver
Spain,12454.0,4439,1,3528.3399999999997,3,1,5,315,Gold
Spain,12455.0,4456,4,767.96,2,4,3,243,Silver
Spain,12462.0,4401,2,1189.59,4,2,4,424,Platinum
Spain,12484.0,4415,6,4657.0,4,5,5,455,Platinum
Spain,12502.0,4478,5,3723.87,2,4,5,245,Silver
Spain,12507.0,4517,3,1304.81,2,3,4,234,Silver
Spain,12510.0,4525,2,982.5699999999999,2,2,4,224,Silver
Spain,12538.0,4412,1,363.95,4,1,2,412,Platinum
Spain,12539.0,4405,4,5568.35,4,4,5,445,Platinum
Spain,12540.0,4402,17,13400.24,4,5,5,455,Platinum
Spain,12541.0,4412,3,981.18,4,3,4,434,Platinum
Spain,12544.0,4419,1,372.7,3,1,2,312,Gold
Spain,12545.0,4458,2,1000.39,2,2,4,224,Silver
Spain,12546.0,4429,2,1161.5,3,2,4,324,Gold
Spain,12547.0,4580,2,207.79999999999998,1,2,1,121,Bronze
Spain,12548.0,4549,1,95.19999999999999,2,1,1,211,Silver
Spain,12550.0,4462,1,964.8299999999999,2,1,4,214,Silver
Spain,12551.0,4740,1,168.0,1,1,1,111,Bronze
Spain,12556.0,4433,2,633.66,3,2,3,323,Gold
Spain,12557.0,4399,5,11990.960000000001,4,4,5,445,Platinum
Spain,12596.0,4434,2,618.27,3,2,3,323,Gold
Spain,12597.0,4402,4,3811.22,4,4,5,445,Platinum
Spain,17097.0,4385,8,971.3199999999999,5,5,4,554,Titanium
Sweden,12483.0,4400,8,2484.98,4,5,5,455,Platinum
Sweden,12638.0,4416,1,671.69,3,1,3,313,Gold
Sweden,12639.0,4621,1,486.1,1,1,2,112,Bronze
Sweden,12641.0,4498,1,185.89999999999998,2,1,1,211,Silver
Sweden,12676.0,4407,6,1331.39,4,5,4,454,Platinum
Sweden,12697.0,4411,3,957.59,4,3,4,434,Platinum
Sweden,12715.0,4489,1,343.36,2,1,2,212,Silver
Sweden,17404.0,4387,15,31906.82,5,5,5,555,Titanium
Switzerland,12357.0,4416,1,6207.67,3,1,5,315,Gold
Switzerland,12371.0,4427,2,1887.96,3,2,4,324,Gold
Switzerland,12377.0,4698,2,1628.12,1,2,4,124,Bronze
Switzerland,12378.0,4512,1,4008.62,2,1,5,215,Silver
Switzerland,12384.0,4411,2,585.27,4,2,3,423,Platinum
Switzerland,12398.0,4428,1,1635.66,3,1,4,314,Gold
Switzerland,12409.0,4461,3,11072.67,2,3,5,235,Silver
Switzerland,12410.0,4691,2,693.33,1,2,3,123,Bronze
Switzerland,12418.0,4495,1,668.58,2,1,3,213,Silver
Switzerland,12422.0,4551,1,417.36,2,1,2,212,Silver
Switzerland,12451.0,4393,5,9035.52,5,4,5,545,Titanium
Switzerland,12452.0,4399,2,430.57,4,2,2,422,Platinum
Switzerland,12456.0,4427,3,3181.04,3,3,5,335,Gold
Switzerland,12457.0,4468,5,1970.53,2,4,4,244,Silver
Switzerland,12458.0,4454,2,947.4,3,2,3,323,Gold
Switzerland,12461.0,4477,2,826.88,2,2,3,223,Silver
Switzerland,13492.0,4519,3,1269.84,2,3,4,234,Silver
Switzerland,13493.0,4658,2,618.63,1,2,3,123,Bronze
Switzerland,13501.0,4671,1,1340.32,1,1,4,114,Bronze
Switzerland,13505.0,4455,4,4393.63,2,4,5,245,Silver
Switzerland,13520.0,4441,6,3624.35,3,5,5,355,Gold
United Arab Emirates,12739.0,4461,2,1013.04,2,2,4,224,Silver
United Arab Emirates,17829.0,4681,1,889.24,1,1,3,113,Bronze
United Kingdom,12346.0,4708,1,77183.6,1,1,5,115,Bronze
United Kingdom,12747.0,4385,11,4196.01,5,5,5,555,Titanium
United Kingdom,12748.0,4383,209,34339.06,5,5,5,555,Titanium
United Kingdom,12749.0,4386,5,4090.88,5,4,5,545,Titanium
United Kingdom,12820.0,4386,4,942.34,5,4,3,543,Titanium
United Kingdom,12821.0,4597,1,92.72,1,1,1,111,Bronze
United Kingdom,12822.0,4453,2,948.88,3,2,3,323,Gold
United Kingdom,12823.0,4457,5,1759.5,2,4,4,244,Silver
United Kingdom,12824.0,4442,1,397.12,3,1,2,312,Gold
United Kingdom,12826.0,4385,7,1474.72,5,5,4,554,Titanium
United Kingdom,12827.0,4388,3,430.15000000000003,5,3,2,532,Titanium
United Kingdom,12828.0,4385,6,1018.71,5,5,4,554,Titanium
United Kingdom,12829.0,4719,2,293.0,1,2,2,122,Bronze
United Kingdom,12830.0,4420,6,6814.64,3,5,5,355,Gold
United Kingdom,12831.0,4645,1,215.05,1,1,1,111,Bronze
United Kingdom,12832.0,4415,2,383.03000000000003,4,2,2,422,Platinum
United Kingdom,12833.0,4528,1,417.38,2,1,2,212,Silver
United Kingdom,12834.0,4665,1,312.38,1,1,2,112,Bronze
United Kingdom,12836.0,4442,4,2627.16,3,4,5,345,Gold
United Kingdom,12837.0,4556,1,134.1,2,1,1,211,Silver
