R,F,M,R Score,F Score,M Score,RFM Score,Segmentation
4392,3,1298.66,5,3,4,534,Titanium
4719,1,334.93,1,1,2,112,Bronze
4388,10,5417.93,5,5,5,555,Titanium
4421,1,522.8000000000001,3,1,3,313,Gold
4548,2,433.74,2,2,2,222,Silver
4398,7,1246.1000000000001,4,5,4,454,Platinum
4615,1,73.5,1,1,1,111,Bronze
4409,2,410.6,4,2,2,422,Platinum
4667,1,176.5,1,1,1,111,Bronze
4495,1,612.29,2,1,3,213,Silver
4402,11,1789.77,4,5,4,454,Platinum
4413,1,349.83000000000004,4,1,2,412,Platinum
4474,2,716.35,2,2,3,223,Silver
4426,3,12601.830000000002,3,3,5,335,Gold
4391,10,3692.28,5,5,5,555,Titanium
4391,7,3781.7400000000002,5,5,5,555,Titanium
4644,1,456.9,1,1,2,112,Bronze
4405,10,9401.28,4,5,5,455,Platinum
4422,2,519.61,3,2,3,323,Gold
4610,1,166.84,1,1,1,111,Bronze
4698,1,218.45000000000002,1,1,1,111,Bronze
4418,3,639.2,3,3,3,333,Gold
4461,1,440.42,2,1,2,212,Silver
4385,15,7281.38,5,5,5,555,Titanium
4411,2,646.68,4,2,3,423,Platinum
4491,3,418.09999999999997,2,3,2,232,Silver
4392,8,3023.08,5,5,5,555,Titanium
4412,7,1032.58,4,5,4,454,Platinum
4441,1,153.12,3,1,1,311,Gold
4462,2,254.18,2,2,2,222,Silver
4385,4,2291.19,5,4,5,545,Titanium
4478,2,713.3,2,2,3,223,Silver
4412,1,366.43,4,1,2,412,Platinum
4397,3,1339.41,5,3,4,534,Titanium
4489,2,641.13,2,2,3,223,Silver
4450,8,6030.3,3,5,5,355,Gold
4406,3,1174.58,4,3,4,434,Platinum
4511,6,3344.64,2,5,5,255,Silver
4386,1,314.44,5,1,2,512,Titanium
4717,1,114.0,1,1,1,111,Bronze
4714,1,919.98,1,1,3,113,Bronze
4400,5,4051.17,4,4,5,445,Platinum
4394,4,1643.18,5,4,4,544,Titanium
4412,1,91.68,4,1,1,411,Platinum
4394,1,245.1,5,1,1,511,Titanium
4533,3,2744.0299999999997,2,3,5,235,Silver
4393,5,2996.05,5,4,5,545,Titanium
4712,1,225.9,1,1,1,111,Bronze
4421,4,1970.6,3,4,4,344,Gold
4425,12,17628.46,3,5,5,355,Gold
4441,4,1113.02,3,4,4,344,Gold
4383,4,880.81,5,4,3,543,Titanium
4397,22,13787.54,5,5,5,555,Titanium
4386,31,12279.82,5,5,5,555,Titanium
4387,15,8476.57,5,5,5,555,Titanium
4390,7,2283.63,5,5,5,555,Titanium
4411,6,2863.08,4,5,5,455,Platinum
4754,1,89.14,1,1,1,111,Bronze
4408,2,1247.61,4,2,4,424,Platinum
4588,1,389.01,1,1,2,112,Bronze
4411,6,1035.8,4,5,4,454,Platinum
4453,2,869.67,3,2,3,323,Gold
4390,4,582.1,5,4,3,543,Titanium
4390,4,4939.99,5,4,5,545,Titanium
4674,1,603.4200000000001,1,1,3,113,Bronze
4392,5,4708.86,5,4,5,545,Titanium
4386,2,1053.49,5,2,4,524,Titanium
4454,1,238.25,3,1,1,311,Gold
4388,2,644.95,5,2,3,523,Titanium
4414,6,2656.13,4,5,5,455,Platinum
4468,4,997.63,2,4,4,244,Silver
4386,5,725.07,5,4,3,543,Titanium
4388,4,1031.41,5,4,4,544,Titanium
4411,7,2609.1,4,5,5,455,Platinum
4393,7,3980.7000000000003,5,5,5,555,Titanium
4454,4,836.33,3,4,3,343,Gold
4496,1,453.01,2,1,2,212,Silver
4406,12,18895.91,4,5,5,455,Platinum
4562,1,236.26000000000002,2,1,1,211,Silver
4735,1,110.39999999999999,1,1,1,111,Bronze
4698,2,779.5699999999999,1,2,3,123,Bronze
4715,1,234.0,1,1,1,111,Bronze
4446,1,427.6,3,1,2,312,Gold
4398,3,4238.67,4,3,5,435,Platinum
4577,1,582.73,1,1,3,113,Bronze
4404,3,825.8,4,3,3,433,Platinum
4570,2,729.54,1,2,3,123,Bronze
4385,30,19788.649999999998,5,5,5,555,Titanium
4415,7,6572.11,4,5,5,455,Platinum
4412,5,5955.7699999999995,4,4,5,445,Platinum
4400,18,7324.09,4,5,5,455,Platinum
4436,1,723.38,3,1,3,313,Gold
4398,11,6941.4,4,5,5,455,Platinum
4405,6,13219.74,4,5,5,455,Platinum
4394,1,527.2,5,1,3,513,Titanium
4411,4,3281.63,4,4,5,445,Platinum
4405,10,5579.82,4,5,5,455,Platinum
4446,2,263.21000000000004,3,2,2,322,Gold
4464,1,1043.1,2,1,4,214,Silver
4404,3,403.70000000000005,4,3,2,432,Platinum
4406,11,4257.82,4,5,5,455,Platinum
4719,1,2169.39,1,1,5,115,Bronze
4401,2,482.04999999999995,4,2,2,422,Platinum
4460,2,1312.06,2,2,4,224,Silver
4411,5,2528.15,4,4,5,445,Platinum
4383,5,2056.89,5,4,4,544,Titanium
4446,1,330.84,3,1,2,312,Gold
4462,5,2634.2599999999998,2,4,5,245,Silver
4525,1,599.68,2,1,3,213,Silver
4422,2,192.72,3,2,1,321,Gold
4392,8,4485.72,5,5,5,555,Titanium
4383,3,1316.66,5,3,4,534,Titanium
4464,3,348.71000000000004,2,3,2,232,Silver
4392,6,1933.48,5,5,4,554,Titanium
4442,4,1662.28,3,4,4,344,Gold
4397,1,125.22,5,1,1,511,Titanium
4513,1,1089.18,2,1,4,214,Silver
4693,2,561.71,1,2,3,123,Bronze
4388,3,2134.01,5,3,5,535,Titanium
4685,1,238.85,1,1,1,111,Bronze
4469,1,351.65,2,1,2,212,Silver
4385,32,4124.69,5,5,5,555,Titanium
4391,2,1020.42,5,2,4,524,Titanium
4629,1,415.7,1,1,2,112,Bronze
4422,1,197.71,3,1,1,311,Gold
4617,2,2040.1,1,2,4,124,Bronze
4594,2,9864.26,1,2,5,125,Bronze
4475,2,437.6,2,2,2,222,Silver
4411,10,2599.04,4,5,5,455,Platinum
4572,5,577.06,1,4,3,143,Bronze
4404,1,739.1999999999999,4,1,3,413,Platinum
4461,3,1126.85,2,3,4,234,Silver
4457,1,704.0400000000001,2,1,3,213,Silver
4440,5,3344.38,3,4,5,345,Gold
4660,1,315.6,1,1,2,112,Bronze
4399,9,3641.24,4,5,5,455,Platinum
4384,20,13689.67,5,5,5,555,Titanium
4615,1,180.1,1,1,1,111,Bronze
4659,1,305.1,1,1,2,112,Bronze
4594,2,2683.82,1,2,5,125,Bronze
4406,9,6620.4800000000005,4,5,5,455,Platinum
4393,7,4478.53,5,5,5,555,Titanium
4387,3,786.46,5,3,3,533,Titanium
4441,4,2163.98,3,4,5,345,Gold
4472,2,1689.18,2,2,4,224,Silver
4408,3,1013.26,4,3,4,434,Platinum
4512,1,477.91,2,1,2,212,Silver
4416,4,1775.18,3,4,4,344,Gold
4405,12,3722.82,4,5,5,455,Platinum
4537,1,318.05,2,1,2,212,Silver
4490,3,623.51,2,3,3,233,Silver
4393,5,601.98,5,4,3,543,Titanium
4401,1,686.05,4,1,3,413,Platinum
4383,11,3849.78,5,5,5,555,Titanium
4707,1,63.0,1,1,1,111,Bronze
4394,4,3807.15,5,4,5,545,Titanium
4388,2,610.52,5,2,3,523,Titanium
4510,4,855.91,2,4,3,243,Silver
4462,2,797.71,2,2,3,223,Silver
4402,1,219.0,4,1,1,411,Platinum
4454,1,283.55,3,1,2,312,Gold
4398,9,6868.29,4,5,5,455,Platinum
4412,10,2712.91,4,5,5,455,Platinum
4398,15,9706.52,4,5,5,455,Platinum
4479,3,1149.02,2,3,4,234,Silver
4411,13,4396.13,4,5,5,455,Platinum
4383,1,848.55,5,1,3,513,Titanium
4385,25,5781.73,5,5,5,555,Titanium
4755,1,155.35,1,1,1,111,Bronze
4411,3,1499.01,4,3,4,434,Platinum
4566,3,814.5,1,3,3,133,Bronze
4425,3,539.0,3,3,3,333,Gold
4422,4,1366.8600000000001,3,4,4,344,Gold
4475,2,1579.12,2,2,4,224,Silver
4405,4,4027.36,4,4,5,445,Platinum
4406,2,571.67,4,2,3,423,Platinum
4412,2,382.98,4,2,2,422,Platinum
4399,2,481.11,4,2,2,422,Platinum
4386,1,680.99,5,1,3,513,Titanium
4534,2,1030.98,2,2,4,224,Silver
4702,1,2661.24,1,1,5,115,Bronze
4663,1,387.31,1,1,2,112,Bronze
4385,7,4310.0,5,5,5,555,Titanium
4544,4,4341.21,2,4,5,245,Silver
4392,55,117430.03,5,5,5,555,Titanium
4384,201,143711.17,5,5,5,555,Titanium
4401,1,1757.55,4,1,4,414,Platinum
4650,1,1017.68,1,1,4,114,Bronze
4736,1,383.7,1,1,2,112,Bronze
4421,2,437.82,3,2,2,322,Gold
4404,2,2794.51,4,2,5,425,Platinum
4386,9,2338.15,5,5,5,555,Titanium
4400,1,196.94,4,1,1,411,Platinum
4700,1,452.85,1,1,2,112,Bronze
4420,10,3338.2200000000003,3,5,5,355,Gold
4405,5,2099.54,4,4,5,445,Platinum
4435,1,1193.32,3,1,4,314,Gold
4404,1,177.31,4,1,1,411,Platinum
4754,1,427.8,1,1,2,112,Bronze
4399,2,867.85,4,2,3,423,Platinum
4405,6,21429.39,4,5,5,455,Platinum
4618,3,3010.74,1,3,5,135,Bronze
4663,2,3811.95,1,2,5,125,Bronze
4469,1,112.07999999999998,2,1,1,211,Silver
4521,2,494.08,2,2,3,223,Silver
4593,1,1351.45,1,1,4,114,Bronze
4393,3,6977.04,5,3,5,535,Titanium
4427,1,229.64000000000001,3,1,1,311,Gold
4699,1,1693.88,1,1,4,114,Bronze
4749,4,1661.06,1,4,4,144,Bronze
4499,1,905.5,2,1,3,213,Silver
4405,4,1820.09,4,4,4,444,Platinum
4435,3,1531.44,3,3,4,334,Gold
4400,5,1386.04,4,4,4,444,Platinum
4402,6,822.23,4,5,3,453,Platinum
4392,3,463.66,5,3,2,532,Titanium
4448,1,91.85000000000001,3,1,1,311,Gold
4575,1,324.92,1,1,2,112,Bronze
4756,1,192.60000000000002,1,1,1,111,Bronze
4569,1,427.58,1,1,2,112,Bronze
4384,73,280206.02,5,5,5,555,Titanium
4693,1,334.4,1,1,2,112,Bronze
4419,8,4186.639999999999,3,5,5,355,Gold
4387,5,1845.31,5,4,4,544,Titanium
4426,1,256.4,3,1,2,312,Gold
4425,5,5059.32,3,4,5,345,Gold
4383,7,13375.87,5,5,5,555,Titanium
4482,1,509.01000000000005,2,1,3,213,Silver
4397,2,2906.85,5,2,5,525,Titanium
4404,5,5005.46,4,4,5,445,Platinum
4464,1,4366.78,2,1,5,215,Silver
4449,2,132.18,3,2,1,321,Gold
4531,2,2209.85,2,2,5,225,Silver
4496,1,4873.81,2,1,5,215,Silver
4418,5,1315.83,3,4,4,344,Gold
4511,1,275.88,2,1,2,212,Silver
4420,8,3981.36,3,5,5,355,Gold
4484,1,125.92,2,1,1,211,Silver
4530,2,1063.46,2,2,4,224,Silver
4478,2,572.2,2,2,3,223,Silver
4405,3,2811.43,4,3,5,435,Platinum
4461,1,777.2,2,1,3,213,Silver
4398,13,7984.18,4,5,5,455,Platinum
4499,2,2791.59,2,2,5,225,Silver
4390,2,1898.52,5,2,4,524,Titanium
4386,7,6989.63,5,5,5,555,Titanium
4442,1,892.47,3,1,3,313,Gold
4387,5,2330.92,5,4,5,545,Titanium
4385,6,2225.91,5,5,5,555,Titanium
4392,2,573.02,5,2,3,523,Titanium
4747,1,311.95,1,1,2,112,Bronze
4639,1,400.53999999999996,1,1,2,112,Bronze
4717,2,545.48,1,2,3,123,Bronze
4436,2,860.41,3,2,3,323,Gold
4401,1,430.48,4,1,2,412,Platinum
4748,1,254.03,1,1,2,112,Bronze
4419,3,483.65000000000003,3,3,2,332,Gold
4560,1,489.31,2,1,2,212,Silver
4643,3,514.85,1,3,3,133,Bronze
4671,1,145.92,1,1,1,111,Bronze
4434,7,39460.659999999996,3,5,5,355,Gold
4440,1,1002.3100000000001,3,1,4,314,Gold
4615,1,1079.4,1,1,4,114,Bronze
4608,1,436.3,1,1,2,112,Bronze
4398,4,807.04,4,4,3,443,Platinum
4386,1,172.06,5,1,1,511,Titanium
4405,1,133.4,4,1,1,411,Platinum
4427,1,449.45,3,1,2,312,Gold
4539,2,197.88,2,2,1,221,Silver
4439,1,3528.3399999999997,3,1,5,315,Gold
4456,4,767.96,2,4,3,243,Silver
4401,2,1189.59,4,2,4,424,Platinum
4415,6,4657.0,4,5,5,455,Platinum
4478,5,3723.87,2,4,5,245,Silver
4517,3,1304.81,2,3,4,234,Silver
4525,2,982.5699999999999,2,2,4,224,Silver
4412,1,363.95,4,1,2,412,Platinum
4405,4,5568.35,4,4,5,445,Platinum
4402,17,13400.24,4,5,5,455,Platinum
4412,3,981.18,4,3,4,434,Platinum
4419,1,372.7,3,1,2,312,Gold
4458,2,1000.39,2,2,4,224,Silver
4429,2,1161.5,3,2,4,324,Gold
4580,2,207.79999999999998,1,2,1,121,Bronze
4549,1,95.19999999999999,2,1,1,211,Silver
4462,1,964.8299999999999,2,1,4,214,Silver
4740,1,168.0,1,1,1,111,Bronze
4433,2,633.66,3,2,3,323,Gold
4399,5,11990.960000000001,4,4,5,445,Platinum
4434,2,618.27,3,2,3,323,Gold
4402,4,3811.22,4,4,5,445,Platinum
4385,8,971.3199999999999,5,5,4,554,Titanium
4400,8,2484.98,4,5,5,455,Platinum
4416,1,671.69,3,1,3,313,Gold
4621,1,486.1,1,1,2,112,Bronze
4498,1,185.89999999999998,2,1,1,211,Silver
4407,6,1331.39,4,5,4,454,Platinum
4411,3,957.59,4,3,4,434,Platinum
4489,1,343.36,2,1,2,212,Silver
4387,15,31906.82,5,5,5,555,Titanium
4416,1,6207.67,3,1,5,315,Gold
4427,2,1887.96,3,2,4,324,Gold
4698,2,1628.12,1,2,4,124,Bronze
4512,1,4008.62,2,1,5,215,Silver
4411,2,585.27,4,2,3,423,Platinum
4428,1,1635.66,3,1,4,314,Gold
4461,3,11072.67,2,3,5,235,Silver
4691,2,693.33,1,2,3,123,Bronze
4495,1,668.58,2,1,3,213,Silver
4551,1,417.36,2,1,2,212,Silver
4393,5,9035.52,5,4,5,545,Titanium
4399,2,430.57,4,2,2,422,Platinum
4427,3,3181.04,3,3,5,335,Gold
4468,5,1970.53,2,4,4,244,Silver
4454,2,947.4,3,2,3,323,Gold
4477,2,826.88,2,2,3,223,Silver
4519,3,1269.84,2,3,4,234,Silver
4658,2,618.63,1,2,3,123,Bronze
4671,1,1340.32,1,1,4,114,Bronze
4455,4,4393.63,2,4,5,245,Silver
4441,6,3624.35,3,5,5,355,Gold
4461,2,1013.04,2,2,4,224,Silver
4681,1,889.24,1,1,3,113,Bronze
4708,1,77183.6,1,1,5,115,Bronze
4385,11,4196.01,5,5,5,555,Titanium
4383,209,34339.06,5,5,5,555,Titanium
4386,5,4090.88,5,4,5,545,Titanium
4386,4,942.34,5,4,3,543,Titanium
4597,1,92.72,1,1,1,111,Bronze
4453,2,948.88,3,2,3,323,Gold
4457,5,1759.5,2,4,4,244,Silver
4442,1,397.12,3,1,2,312,Gold
4385,7,1474.72,5,5,4,554,Titanium
4388,3,430.15000000000003,5,3,2,532,Titanium
4385,6,1018.71,5,5,4,554,Titanium
4719,2,293.0,1,2,2,122,Bronze
4420,6,6814.64,3,5,5,355,Gold
4645,1,215.05,1,1,1,111,Bronze
4415,2,383.03000000000003,4,2,2,422,Platinum
4528,1,417.38,2,1,2,212,Silver
4665,1,312.38,1,1,2,112,Bronze
4442,4,2627.16,3,4,5,345,Gold
4556,1,134.1,2,1,1,211,Silver
4416,2,719.8000000000001,3,2,3,323,Gold
4385,14,5609.3,5,5,5,555,Titanium
4526,4,2726.77,2,4,5,245,Silver
4387,25,4004.08,5,5,5,555,Titanium
4453,2,1118.99,3,2,4,324,Gold
4448,8,1751.51,3,5,4,354,Gold
4412,2,339.51,4,2,2,422,Platinum
4650,4,354.09,1,4,2,142,Bronze
4405,1,1027.29,4,1,4,414,Platinum
4414,2,1038.01,4,2,4,424,Platinum
4479,1,142.82,2,1,1,211,Silver
4677,1,311.55,1,1,2,112,Bronze
4517,6,1957.1000000000001,2,5,4,254,Silver
4461,3,1361.0,2,3,4,234,Silver
4755,1,38.1,1,1,1,111,Bronze
4390,6,2248.38,5,5,5,555,Titanium
4593,2,1106.4,1,2,4,124,Bronze
4435,1,521.2,3,1,3,313,Gold
4521,1,147.12,2,1,1,211,Silver
4409,7,4162.69,4,5,5,455,Platinum
4568,6,1607.0600000000002,1,5,4,154,Bronze
4467,2,380.64,2,2,2,222,Silver
4709,2,599.97,1,2,3,123,Bronze
4665,1,374.0,1,1,2,112,Bronze
4526,2,343.2300000000001,2,2,2,222,Silver
4386,12,1535.77,5,5,4,554,Titanium
4619,2,854.99,1,2,3,123,Bronze
4427,3,573.22,3,3,3,333,Gold
4658,1,298.0,1,1,2,112,Bronze
4392,2,1463.04,5,2,4,524,Titanium
4407,4,703.47,4,4,3,443,Platinum
4471,1,309.05,2,1,2,212,Silver
4446,3,1175.22,3,3,4,334,Gold
4450,2,1378.4,3,2,4,324,Gold
4597,2,354.12,1,2,2,122,Bronze
4407,1,378.92,4,1,2,412,Platinum
4568,3,331.0,1,3,2,132,Bronze
4413,1,216.5,4,1,1,411,Platinum
4425,2,372.8,3,2,2,322,Gold
4587,2,216.5,1,2,1,121,Bronze
4391,28,17654.54,5,5,5,555,Titanium
4647,1,138.68,1,1,1,111,Bronze
4401,2,519.36,4,2,3,423,Platinum
4394,5,2919.81,5,4,5,545,Titanium
4559,2,750.0,2,2,3,223,Silver
4422,5,2178.67,3,4,5,345,Gold
4406,8,3075.04,4,5,5,455,Platinum
4385,5,1662.3,5,4,4,544,Titanium
4387,5,2483.63,5,4,5,545,Titanium
4531,2,363.65,2,2,2,222,Silver
4521,4,3121.95,2,4,5,245,Silver
4511,1,594.0,2,1,3,213,Silver
4391,6,1335.19,5,5,4,554,Titanium
4400,1,162.78,4,1,1,411,Platinum
4392,37,16587.09,5,5,5,555,Titanium
4544,1,405.38,2,1,2,212,Silver
4447,1,172.82,3,1,1,311,Gold
4471,4,1185.76,2,4,4,244,Silver
4387,2,694.05,5,2,3,523,Titanium
4418,5,2062.7,3,4,4,344,Gold
4694,1,117.85,1,1,1,111,Bronze
4461,2,415.8,2,2,2,222,Silver
4404,15,42883.36,4,5,5,455,Platinum
4407,3,637.53,4,3,3,433,Platinum
4385,7,2160.7,5,5,5,555,Titanium
4400,4,1063.9,4,4,4,444,Platinum
4398,4,1504.27,4,4,4,444,Platinum
4408,1,114.14,4,1,1,411,Platinum
4447,8,11581.8,3,5,5,355,Gold
4437,2,924.6899999999999,3,2,3,323,Gold
4514,3,675.6,2,3,3,233,Silver
4418,2,604.51,3,2,3,323,Gold
4671,1,462.95,1,1,2,112,Bronze
4526,6,1603.99,2,5,4,254,Silver
4399,7,2064.95,4,5,4,454,Platinum
4413,8,4167.22,4,5,5,455,Platinum
4385,3,1843.0,5,3,4,534,Titanium
4391,6,1064.07,5,5,4,554,Titanium
4388,4,1387.79,5,4,4,544,Titanium
4392,1,329.85,5,1,2,512,Titanium
4384,11,4757.16,5,5,5,555,Titanium
4689,1,108.07,1,1,1,111,Bronze
4392,8,4017.54,5,5,5,555,Titanium
4390,2,266.39,5,2,2,522,Titanium
4391,8,1856.63,5,5,4,554,Titanium
4472,1,769.81,2,1,3,213,Silver
4392,1,160.18,5,1,1,511,Titanium
4741,2,1660.9,1,2,4,124,Bronze
4495,1,135.95,2,1,1,211,Silver
4390,4,479.87,5,4,2,542,Titanium
4386,86,11189.91,5,5,5,555,Titanium
4580,1,144.8,1,1,1,111,Bronze
4594,1,738.6,1,1,3,113,Bronze
4539,1,39.24,2,1,1,211,Silver
4540,9,7374.900000000001,2,5,5,255,Silver
4412,2,372.22,4,2,2,422,Platinum
4625,1,390.53999999999996,1,1,2,112,Bronze
4401,1,97.5,4,1,1,411,Platinum
4383,2,1239.38,5,2,4,524,Titanium
4456,2,558.7,2,2,3,223,Silver
4675,1,569.62,1,1,3,113,Bronze
4386,15,6924.110000000001,5,5,5,555,Titanium
4414,3,409.5,4,3,2,432,Platinum
4406,2,503.76,4,2,3,423,Platinum
4406,4,414.76,4,4,2,442,Platinum
4387,3,974.42,5,3,4,534,Titanium
4468,1,211.32,2,1,1,211,Silver
4405,4,1226.89,4,4,4,444,Platinum
4579,3,455.88,1,3,2,132,Bronze
4489,3,534.85,2,3,3,233,Silver
4387,13,9946.53,5,5,5,555,Titanium
4701,1,120.94999999999999,1,1,1,111,Bronze
4488,3,149.05,2,3,1,231,Silver
4394,18,5655.91,5,5,5,555,Titanium
4556,2,513.7,2,2,3,223,Silver
4439,1,81.57,3,1,1,311,Gold
4706,1,229.46999999999997,1,1,1,111,Bronze
4755,1,50.550000000000004,1,1,1,111,Bronze
4392,8,1646.8400000000001,5,5,4,554,Titanium
4384,13,4810.9400000000005,5,5,5,555,Titanium
4393,10,3466.2799999999997,5,5,5,555,Titanium
4436,5,3339.64,3,4,5,345,Gold
4456,3,789.89,2,3,3,233,Silver
4390,1,204.0,5,1,1,511,Titanium
4399,28,7277.7,4,5,5,455,Platinum
4387,9,2616.38,5,5,5,555,Titanium
4447,2,689.9,3,2,3,323,Gold
4384,5,975.36,5,4,4,544,Titanium
4496,6,6912.0,2,5,5,255,Silver
4405,2,661.3199999999999,4,2,3,423,Platinum
4413,3,1247.5,4,3,4,434,Platinum
4394,2,954.11,5,2,4,524,Titanium
4435,2,1010.18,3,2,4,324,Gold
4740,1,190.55,1,1,1,111,Bronze
4437,2,642.77,3,2,3,323,Gold
4456,2,921.88,2,2,3,223,Silver
4521,3,881.07,2,3,3,233,Silver
4463,3,908.46,2,3,3,233,Silver
4391,2,676.99,5,2,3,523,Titanium
4656,1,516.42,1,1,3,113,Bronze
4674,1,560.47,1,1,3,113,Bronze
4482,1,305.28,2,1,2,212,Silver
4413,2,629.3100000000001,4,2,3,423,Platinum
4414,10,3237.54,4,5,5,455,Platinum
4397,4,1829.6100000000001,5,4,4,544,Titanium
4447,2,656.6800000000001,3,2,3,323,Gold
4397,17,5875.46,5,5,5,555,Titanium
4595,1,348.15,1,1,2,112,Bronze
4461,3,1214.41,2,3,4,234,Silver
4407,3,271.4,4,3,2,432,Platinum
4632,1,183.4,1,1,1,111,Bronze
4636,1,307.53,1,1,2,112,Bronze
4455,1,248.61,2,1,1,211,Silver
4574,1,346.97999999999996,1,1,2,112,Bronze
4395,4,1120.44,5,4,4,544,Titanium
4756,1,205.86,1,1,1,111,Bronze
4407,2,470.8,4,2,2,422,Platinum
4465,1,139.31,2,1,1,211,Silver
4393,2,344.0,5,2,2,522,Titanium
4383,24,4469.37,5,5,5,555,Titanium
4575,1,228.8,1,1,1,111,Bronze
4649,1,177.15,1,1,1,111,Bronze
4512,1,919.61,2,1,3,213,Silver
4384,4,728.02,5,4,3,543,Titanium
4386,26,12627.94,5,5,5,555,Titanium
4387,5,220.10000000000002,5,4,1,541,Titanium
4562,1,58.08,2,1,1,211,Silver
4394,11,28337.38,5,5,5,555,Titanium
4509,9,3613.63,2,5,5,255,Silver
4387,2,303.75,5,2,2,522,Titanium
4540,2,416.08,2,2,2,222,Silver
4385,97,58895.28,5,5,5,555,Titanium
4391,14,8910.82,5,5,5,555,Titanium
4411,1,345.82,4,1,2,412,Platinum
4453,5,477.83,3,4,2,342,Gold
4658,8,7832.47,1,5,5,155,Bronze
4404,12,1927.3200000000002,4,5,4,454,Platinum
4453,1,74.39999999999999,3,1,1,311,Gold
4415,10,6137.27,4,5,5,455,Platinum
